Date,Valeur fonciere,Arrondissement,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot,Nombre de lots,Type local,Surface reelle bati ,Nombre pieces principales,Surface terrain,Total Surface Carrez,Prix par m2
2021,200000.0,8,0.0,22.07,0.0,0.0,0.0,4,Appartement,,2,0,22.07,9062.075215224286
2021,437500.0,1,0.0,23.5,0.0,0.0,0.0,2,Appartement,,1,0,23.5,18617.021276595744
2021,30000.0,3,2.2,0.0,0.0,0.0,0.0,1,Appartement,,1,0,2.2,13636.363636363636
2021,1236250.0,3,0.0,86.81,0.0,0.0,0.0,2,Appartement,,4,0,86.81,14240.870867411588
2021,1820000.0,1,115.83,0.0,0.0,0.0,0.0,1,Appartement,,4,0,115.83,15712.682379349046
2021,320000.0,3,26.6,0.0,0.0,0.0,0.0,1,Appartement,,2,0,26.6,12030.075187969924
2021,320000.0,3,26.6,0.0,0.0,0.0,0.0,2,Appartement,,1,0,26.6,12030.075187969924
2021,750000.0,8,0.0,0.0,40.4,0.0,0.0,3,Appartement,,2,0,40.4,18564.356435643564
2021,1035000.0,1,69.19,0.0,0.0,0.0,0.0,2,Appartement,,4,0,69.19,14958.809076456137
2021,1850000.0,8,79.04,0.0,0.0,0.0,0.0,2,Appartement,,2,0,79.04,23405.870445344128
2021,350000.0,1,28.85,0.0,0.0,0.0,0.0,1,Appartement,,2,0,28.85,12131.715771230502
2021,482000.0,3,41.16,0.0,0.0,0.0,0.0,1,Appartement,,2,0,41.16,11710.398445092324
2021,580000.0,1,50.5,0.0,0.0,0.0,0.0,1,Appartement,,2,0,50.5,11485.148514851486
2021,1168945.0,8,84.7,0.0,0.0,0.0,0.0,1,Appartement,,3,0,84.7,13801.003541912632
2021,605000.0,8,54.31,0.0,0.0,0.0,0.0,2,Appartement,,2,0,54.31,11139.753268274719
2021,637500.0,8,38.01,0.0,0.0,0.0,0.0,1,Appartement,,1,0,38.01,16771.902131018152
2021,1048100.0,3,85.6,0.0,0.0,0.0,0.0,2,Appartement,,5,0,85.6,12244.158878504673
2021,300000.0,8,31.62,0.0,0.0,0.0,0.0,1,Appartement,,1,0,31.62,9487.666034155598
2021,720000.0,8,0.0,58.05,0.0,0.0,0.0,2,Appartement,,4,0,58.05,12403.1007751938
2021,491000.0,3,35.19,0.0,0.0,0.0,0.0,2,Appartement,,2,0,35.19,13952.827507814722
2021,997000.0,8,71.72,0.0,0.0,0.0,0.0,2,Appartement,,3,0,71.72,13901.282766313441
2021,585000.0,3,52.24,0.0,0.0,0.0,0.0,2,Appartement,,1,0,52.24,11198.315467075037
2021,1605000.0,8,103.05,0.0,0.0,0.0,0.0,2,Appartement,,3,0,103.05,15574.963609898108
2021,260000.0,3,18.6,0.0,0.0,0.0,0.0,1,Appartement,,1,0,18.6,13978.494623655914
2021,32000.0,1,7.74,0.0,0.0,0.0,0.0,1,Appartement,,1,0,7.74,4134.366925064599
2021,380000.0,3,0.0,31.32,0.0,0.0,0.0,2,Appartement,,1,0,31.32,12132.822477650063
2021,7124000.0,1,215.13,0.0,0.0,0.0,0.0,2,Appartement,,5,0,215.13,33114.86078185283
2021,1900000.0,1,107.96,0.0,0.0,0.0,0.0,1,Appartement,,4,0,107.96,17599.11078177103
2021,660000.0,8,0.0,53.28,0.0,0.0,0.0,2,Appartement,,3,0,53.28,12387.387387387387
2021,1230000.0,1,43.6,0.0,0.0,0.0,0.0,1,Appartement,,1,0,43.6,28211.009174311926
