id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-493446,2025-05-07,000001,Vente,544300,10,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0042,,,14,,15,,24,40.97,53,,,,4,2,Appartement,43,2,,,,,,2.363603,48.85274
2025-493446,2025-05-07,000001,Vente,544300,10,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0042,,,14,,15,,24,40.97,53,,,,4,3,Dépendance,,0,,,,,,2.363603,48.85274
2025-493453,2025-04-16,000001,Vente,110000,75,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0164,,,17,,,,,,,,,,1,2,Appartement,13,1,,,,,,2.363013,48.854321
2025-493453,2025-04-16,000001,Vente,110000,75,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0164,,,31,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.363013,48.854321
2025-493472,2025-05-05,000001,Vente,120000,31,,RUE FRANCOIS MIRON,3805,75004,75104,Paris 4e Arrondissement,75,,,75104000AM0112,,,32,8.41,,,,,,,,,1,2,Appartement,15,1,,,,,,2.358217,48.855626
2025-493487,2025-05-15,000001,Vente,1212700,13,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0066,,,35,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354392,48.85804
2025-493487,2025-05-15,000001,Vente,1212700,13,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0066,,,15,112.39,,,,,,,,,1,2,Appartement,110,4,,,,,,2.354392,48.85804
2025-493489,2025-05-15,000001,Vente,1583870,11,,SQ STE CROIX DE LA BRETONNERI,8549,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0068,,,23,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354207,48.858174
2025-493489,2025-05-15,000001,Vente,1583870,34,,RUE DE LA VERRERIE,9704,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0069,,,3008,113.3,,,,,,,,,1,2,Appartement,113,4,,,,,,2.354057,48.857883
2025-493511,2025-05-13,000001,Vente,560000,7,,RUE SAINT MARTIN,8694,75004,75104,Paris 4e Arrondissement,75,,,75104000AC0056,,,17,34.03,,,,,,,,,1,2,Appartement,40,3,,,,,,2.349749,48.858673
