Annee_financement,Arrondissement,Nb_logements_sociaux,percent_logement_sociaux_finances
2007,16,266,4.314679643146796
2007,5,32,0.519059205190592
2007,13,661,10.721816707218167
2007,11,573,9.29440389294404
2007,14,642,10.413625304136254
2007,19,345,5.59610705596107
2007,2,80,1.29764801297648
2007,1,90,1.4598540145985401
2007,6,45,0.7299270072992701
2007,4,29,0.47039740470397406
2007,8,75,1.2165450121654502
2008,18,648,10.603829160530191
2008,12,298,4.876452299132712
2008,7,0,0.0
2008,15,598,9.785632466044838
2008,3,163,2.667321224022255
2008,17,459,7.511045655375552
2008,20,694,11.356570119456718
2008,9,183,2.9945999018163967
2008,10,515,8.42742595319915
2008,16,55,0.9000163639338897
2008,5,200,3.272786777941417
2008,13,852,13.942071674030437
2008,11,284,4.647357224676813
2008,14,171,2.7982326951399115
2008,19,536,8.771068564882999
2008,2,54,0.8836524300441826
2008,1,207,3.3873343151693667
2008,6,0,0.0
2008,4,194,3.1746031746031744
2008,8,0,0.0
2009,18,318,5.229403058707449
2009,12,504,8.28811050814011
2009,7,0,0.0
2009,15,822,13.517513566847558
2009,3,74,1.2169051142904128
2009,17,476,7.827659924354547
2009,20,531,8.732116428219044
2009,9,104,1.7102450254892287
2009,10,125,2.0555829633284
2009,16,306,5.032067094227923
2009,5,55,0.9044565038644959
2009,13,1200,19.73359644795264
2009,11,302,4.966288439401414
2009,14,193,3.1738200953790496
2009,19,816,13.418845584607794
2009,2,61,1.0031244861042592
2009,1,7,0.1151126459463904
2009,6,13,0.2137806281861536
2009,4,152,2.4995888834073345
2009,8,22,0.3617826015457984
2010,18,667,9.44224235560589
2010,12,802,11.353340883352208
2010,7,0,0.0
2010,15,159,2.250849377123443
2010,3,37,0.5237825594563986
2010,17,153,2.165911664779162
2010,20,1463,20.710645526613817
2010,9,105,1.486409966024915
2010,10,584,8.267270668176671
2010,16,110,1.5571913929784824
2010,5,18,0.2548131370328426
2010,13,589,8.338052095130237
2010,11,328,4.64326160815402
2010,14,720,10.192525481313703
2010,19,1119,15.840883352208381
2010,2,14,0.19818799546998866
2010,1,52,0.7361268403171007
2010,6,70,0.9909399773499433
2010,4,28,0.39637599093997733
2010,8,46,0.6511891279728199
2011,18,257,4.12321514519493
2011,12,186,2.984116797689716
2011,7,53,0.8503128509545965
2011,15,1024,16.428686025990693
2011,3,71,1.139098347505214
2011,17,544,8.727739451307556
2011,20,436,6.99502647200385
2011,9,78,1.25140381838601
2011,10,70,1.1230547088079577
2011,16,240,3.8504732873415692
2011,5,116,1.8610620888817584
2011,13,916,14.695973046686989
2011,11,397,6.369324562810846
2011,14,299,4.797047970479705
2011,19,644,10.33210332103321
2011,2,30,0.48130916091769615
2011,1,147,2.358414888496711
2011,6,201,3.224771378148564
2011,4,489,7.845339322958447
2011,8,35,0.5615273544039788
2012,18,258,4.163304824915282
2012,12,179,2.88849443279006
2012,7,50,0.8068420203324189
2012,15,521,8.407293851863805
2012,3,22,0.3550104889462643
2012,17,721,11.634661933193481
2012,20,1012,16.33048249152816
2012,9,63,1.0166209456188477
2012,10,240,3.872841697595611
2012,16,53,0.8552525415523641
2012,5,95,1.532999838631596
2012,13,1247,20.122639987090526
2012,11,438,7.06793609811199
2012,14,401,6.470873003066
2012,19,728,11.74761981604002
2012,2,13,0.2097789252864289
2012,1,32,0.5163788930127481
2012,6,13,0.2097789252864289
2012,4,78,1.2586735517185734
2012,8,33,0.5325157334193965
2013,18,745,10.418123339393093
2013,12,603,8.432387078730248
2013,7,1,0.013984058173682002
2013,15,493,6.894140679625227
2013,3,6,0.08390434904209201
2013,17,579,8.09676968256188
2013,20,763,10.669836386519368
2013,9,149,2.0836246678786186
2013,10,283,3.9574884631520066
2013,16,245,3.4260942525520908
2013,5,58,0.8110753740735561
2013,13,1317,18.4170046147392
2013,11,153,2.1395609005733465
2013,14,593,8.292546496993427
2013,19,988,13.816249475597818
2013,2,0,0.0
2013,1,117,1.6361348063207943
2013,6,1,0.013984058173682002
2013,4,55,0.7691231995525102
2013,8,2,0.027968116347364003
2014,18,900,12.559307842590009
2014,12,421,5.87496511303377
2014,7,0,0.0
2014,15,407,5.679598102149037
2014,3,166,2.316494557633268
2014,17,913,12.740720066982975
2014,20,676,9.433435668434273
2014,9,120,1.6745743790120011
2014,10,98,1.3675690761931343
2014,16,1624,22.66257326262908
2014,5,201,2.804912084845102
2014,13,354,4.939994418085403
2014,11,157,2.190901479207368
2014,14,356,4.967903991068937
2014,19,534,7.451855986603405
2014,2,32,0.44655316773653364
2014,1,29,0.4046888082612336
2014,6,44,0.6140106056377338
2014,4,41,0.5721462461624337
2014,8,93,1.297795143734301
2015,18,361,4.886302111532214
2015,12,662,8.960476448294532
2015,7,18,0.24363833243096913
2015,15,418,5.657823497563617
2015,3,43,0.5820249052517596
2015,17,2644,35.7877639415268
2015,20,521,7.051976177585273
2015,9,3,0.040606388738494856
2015,10,294,3.979426096372496
2015,16,479,6.483486735246346
2015,5,140,1.8949648077964267
2015,13,616,8.337845154304278
2015,11,229,3.099621007038441
2015,14,570,7.715213860314023
2015,19,216,2.9236599891716297
2015,2,0,0.0
2015,1,0,0.0
2015,6,12,0.16242555495397942
2015,4,78,1.0557661072008662
2015,8,84,1.136978884677856
2016,18,283,3.7723273793655023
2016,12,1808,24.10023993601706
2016,7,11,0.1466275659824047
2016,15,206,2.7459344174886695
2016,3,107,1.4262863236470276
2016,17,345,4.598773660357238
2016,20,1274,16.982138096507597
2016,9,19,0.2532657957877899
2016,10,131,1.746201013063183
2016,16,29,0.3865635830445215
2016,5,2,0.026659557451346308
2016,13,1641,21.874166888829645
2016,11,158,2.1061050386563585
2016,14,617,8.224473473740336
2016,19,736,9.810717142095442
2016,2,16,0.21327645961077046
2016,1,31,0.4132231404958678
2016,6,8,0.10663822980538523
2016,4,3,0.03998933617701946
2016,8,77,1.0263929618768328
2017,18,320,4.372779447936595
2017,12,748,10.22137195955179
2017,7,274,3.744192402295709
2017,15,1963,26.82426892593605
2017,3,15,0.20497403662202787
2017,17,212,2.896966384257994
2017,20,630,8.608909538125172
2017,9,127,1.735446843399836
2017,10,367,5.015031429352282
2017,16,140,1.91309100847226
2017,5,2,0.027329871549603715
2017,13,376,5.138015851325499
2017,11,179,2.4460235036895326
2017,14,949,12.968024050286964
2017,19,841,11.492210986608363
2017,2,10,0.1366493577480186
2017,1,5,0.0683246788740093
2017,6,51,0.6969117245148948
2017,4,107,1.4621481279037989
2017,8,2,0.027329871549603715
2018,18,1078,17.228703851686113
2018,12,213,3.4041873102125617
2018,7,0,0.0
2018,15,616,9.844973629534921
2018,3,21,0.3356241010068723
2018,17,92,1.4703532044110597
2018,20,407,6.504714719514144
2018,9,14,0.2237494006712482
2018,10,133,2.125619306376858
2018,16,212,3.3882052101646156
2018,5,61,0.9749081029247243
2018,13,2464,39.379894518139686
2018,11,487,7.783282723349848
2018,14,74,1.1826754035480262
2018,19,187,2.988652708965958
2018,2,23,0.3675883011027649
2018,1,35,0.5593735016781205
2018,6,68,1.0867828032603484
2018,4,10,0.159821000479463
2018,8,62,0.9908902029726706
2019,18,442,7.723222086318365
2019,12,289,5.049799056438931
2019,7,115,2.009435610693692
2019,15,513,8.963830159007513
2019,3,15,0.2621002970470033
2019,17,202,3.5296173335663115
2019,20,2274,39.734405032325704
2019,9,78,1.3629215446444172
2019,10,134,2.341429320286563
2019,16,319,5.5739996505329374
2019,5,0,0.0
2019,13,333,5.818626594443474
2019,11,134,2.341429320286563
2019,14,792,13.838895684081775
2019,19,40,0.6989341254586755
2019,2,0,0.0
