date,arrondissement,median_price,median_surf_m2,median_piece,percent_house,typology,annual_variation
2021,11,11178.189996396737,37.085,2.0,7.442550037064493,['Appartement'],
2022,20,9409.828051713313,40.03,2.0,6.58901129745281,['Appartement'],
2022,16,11880.584890333064,70.71,3.0,8.402919093396955,['Appartement'],
2022,15,10673.214093567423,44.480000000000004,2.0,10.153673426426217,['Appartement'],
2022,18,9910.78355314197,39.52,2.0,11.279910181741633,['Appartement'],
2022,3,12770.738821246745,40.01,2.0,2.18932004771595,['Appartement'],
2022,9,11862.955032119911,47.81,2.0,3.8628868149603535,['Appartement'],
2022,10,10519.442832269298,41.25,2.0,5.469791593572381,['Appartement'],
2022,19,9274.265891753752,41.93,2.0,5.571538839379692,['Appartement'],
2022,17,11287.47795414462,46.31,2.0,8.795873973756228,['Appartement'],
2022,2,12224.988933156264,37.03,2.0,1.392884709844923,['Appartement'],
2022,8,12884.36189334931,71.2,3.0,2.171777419128482,['Appartement'],
2022,4,13715.161136566032,44.75,2.0,1.6700582415269103,['Appartement'],
2022,1,13702.513702513705,47.02,2.0,1.0771173952705073,['Appartement'],
2022,13,9823.493427208321,39.67,2.0,4.65932215283138,['Appartement'],
2022,6,15456.491898393828,55.35,2.0,2.5717493509227425,['Appartement'],
2022,11,10917.139411459942,38.91,2.0,8.09767735597502,['Appartement'],
2022,12,10105.715542264166,44.2,2.0,5.543470633639744,['Appartement'],
2022,14,10552.37662458826,40.8,2.0,4.77861202722616,['Appartement'],
2022,5,13038.754074610648,40.13,2.0,2.6910392253175215,['Appartement'],
2022,7,15161.640293017354,60.019999999999996,3.0,3.031366219914392,['Appartement'],
2023,20,8908.042309638735,38.91,2.0,5.616150019135094,['Appartement'],
2023,15,10050.251256281406,44.75,2.0,10.997895139686184,['Appartement'],
2023,16,11492.451091968676,70.36500000000001,3.0,8.907386146192117,['Appartement'],
2023,17,10750.143157091048,43.39,2.0,7.79276693455798,['Appartement'],
2023,9,11401.54998029686,48.53,2.0,3.1907768848067355,['Appartement'],
2023,18,9485.77134298552,35.24,2.0,9.610600841944125,['Appartement'],
2023,8,12928.698614229312,64.99,3.0,1.8417527745885955,['Appartement'],
2023,10,9947.643979057591,39.74,2.0,4.932070417145044,['Appartement'],
2023,19,8567.906345022282,44.754999999999995,2.0,5.558744737849215,['Appartement'],
2023,1,13330.94696853429,43.775,2.0,0.947187141216992,['Appartement'],
2023,3,12467.532467532468,42.05,2.0,2.0426712590891696,['Appartement'],
2023,4,13537.372839907646,39.989999999999995,2.0,1.5690776884806736,['Appartement'],
2023,2,11749.436392914651,37.77,2.0,1.3251052430156909,['Appartement'],
2023,6,15234.443688538948,49.735,2.0,2.7267508610792195,['Appartement'],
2023,11,10358.58096412765,37.855000000000004,2.0,9.07003444316877,['Appartement'],
2023,14,10006.67111407605,39.44,2.0,5.539609644087256,['Appartement'],
2023,13,9187.4568790718,38.709999999999994,2.0,5.243015690776885,['Appartement'],
2023,5,12545.454545454546,38.68,2.0,3.209911978568695,['Appartement'],
2023,7,14812.593703148426,58.03,3.0,3.4299655568312284,['Appartement'],
2023,12,9500.280775934832,41.010000000000005,2.0,6.448526597780329,['Appartement'],
2024,20,8379.081190407396,37.92,2.0,6.511789871654562,['Appartement'],
2024,10,9233.926128590972,38.01,2.0,4.8005173614565715,['Appartement'],
2024,16,10840.465288092832,68.08,3.0,8.387225151726197,['Appartement'],
2024,15,9561.670338338943,44.555,2.0,11.182966868968261,['Appartement'],
2024,18,8746.355685131195,35.1,2.0,9.078698636951547,['Appartement'],
2024,19,7905.783582089552,39.63,2.0,4.929857725599443,['Appartement'],
2024,17,10014.727540500737,44.71,2.0,7.8051935130832755,['Appartement'],
2024,8,12367.382002860537,69.36,3.0,2.198786190428813,['Appartement'],
2024,4,12771.538089606842,40.375,2.0,1.6416276987364442,['Appartement'],
2024,9,10784.400035214368,47.13,2.0,3.5369614963685208,['Appartement'],
2024,3,11892.1453456421,38.105000000000004,2.0,2.0296487911650583,['Appartement'],
2024,2,11325.570266390174,38.38,2.0,1.2386827181374989,['Appartement'],
2024,1,12712.220117929914,51.415,2.0,0.9551288429012038,['Appartement'],
2024,6,14746.538016171347,52.775000000000006,2.0,3.0345239279673666,['Appartement'],
2024,7,14146.217514861786,64.93,3.0,3.4324942791762014,['Appartement'],
2024,12,8871.54009936125,41.33,2.0,5.795443239478659,['Appartement'],
2024,14,9354.081326805874,40.12,2.0,5.536762511192916,['Appartement'],
2024,5,11862.6047630902,38.89,2.0,3.233509103571784,['Appartement'],
2024,11,9834.994281980067,35.53,2.0,9.028952343050443,['Appartement'],
2024,13,8650.122369012235,39.605000000000004,2.0,5.641229728385236,['Appartement'],
2025,20,8274.744452754923,39.22,2.0,7.994438651372958,['Appartement'],
2025,18,8968.253968253968,36.43,2.0,11.528212258139266,['Appartement'],
2025,10,9434.982551880312,35.85,2.0,5.491831769204032,['Appartement'],
2025,8,12163.581099751313,66.74,3.0,2.537365311087939,['Appartement'],
2025,17,9976.057462090985,43.48,2.0,9.535395666782527,['Appartement'],
2025,4,13037.928002712244,41.085,2.0,2.6879851697369945,['Appartement'],
2025,9,10815.741464685952,41.08,2.0,4.367975900822616,['Appartement'],
2025,19,7896.816437118989,42.02,2.0,5.549762484069054,['Appartement'],
2025,2,11306.818181818182,32.629999999999995,2.0,1.5988877302745916,['Appartement'],
2025,3,12034.879508682403,39.815,2.0,2.896535743251072,['Appartement'],
2025,1,12433.158382937216,46.05,2.0,1.2281311551384544,['Appartement'],
2025,5,11875.627640708019,37.465,2.0,2.5721237400069517,['Appartement'],
2025,15,9461.53846153846,44.96,2.0,8.53898737110416,['Appartement'],
2025,6,14860.281053141658,47.19,2.0,2.3519870235198703,['Appartement'],
2025,12,8844.96290975889,43.335,2.0,5.051558336229869,['Appartement'],
2025,14,9369.878901072418,40.605000000000004,2.0,4.9125246205538176,['Appartement'],
2025,16,11028.7470620141,70.61,3.0,7.4267176456957475,['Appartement'],
2025,11,9919.028340080971,37.89,2.0,6.592515351639439,['Appartement'],
2025,13,8640.625,40.67,2.0,4.0899084694705135,['Appartement'],
2025,7,14201.34983127109,66.03,3.0,3.0471556019001276,['Appartement'],
